blk_no,street,bldg_contract_town,lat,lon,postal,full_address
10D,BEDOK STH AVE 2,BD,1.321770859,103.9363266,463010,10D BEDOK SOUTH AVENUE 2 SINGAPORE 463010
10E,BEDOK STH AVE 2,BD,1.321620093,103.937041,464010,10E BEDOK SOUTH AVENUE 2 SINGAPORE 464010
10F,BEDOK STH AVE 2,BD,1.322217735,103.9370013,465010,10F BEDOK SOUTH AVENUE 2 SINGAPORE 465010
100,ALJUNIED CRES,GL,1.320959012,103.8841294,380100,100 ALJUNIED CRESCENT SINGAPORE 380100
100,BEDOK NTH AVE 4,BD,1.334139,103.9383897,460100,100 BEDOK NORTH AVENUE 4 BEDOK POND 1 SINGAPORE 460100
100,C'WEALTH CRES,QT,1.307705276,103.8012725,140100,100 COMMONWEALTH CRESCENT CRESCENT VIEW SINGAPORE 140100
100,LOR 1 TOA PAYOH,TP,1.339564005,103.8485857,310100,100 LORONG 1 TOA PAYOH TOA PAYOH PALM SPRING SINGAPORE 310100
100,WHAMPOA DR,KWN,1.320779477,103.8543487,320100,100 WHAMPOA DRIVE WHAMPOA VIEW SINGAPORE 320100
101,AH HOOD RD,KWN,1.32739679,103.844481,320101,101 AH HOOD ROAD AH HOOD GARDENS SINGAPORE 320101
101,ALJUNIED CRES,GL,1.320922753,103.883352,380101,101 ALJUNIED CRESCENT SINGAPORE 380101
101,ANG MO KIO AVE 3,AMK,1.370261584,103.8394679,560101,101 ANG MO KIO AVENUE 3 KEBUN BARU HEIGHTS SINGAPORE 560101
101,BEDOK RESERVOIR RD,BD,1.328449133,103.9099374,470101,101 BEDOK RESERVOIR ROAD EUNOS VISTA SINGAPORE 470101
101,BEDOK NTH AVE 4,BD,1.334484667,103.9379247,460101,101 BEDOK NORTH AVENUE 4 PEARL GARDEN SINGAPORE 460101
101,BISHAN ST 12,BH,1.344859158,103.8484008,570101,101 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570101
101,BT BATOK WEST AVE 6,BB,1.346706361,103.7469207,650101,101 BUKIT BATOK WEST AVENUE 6 SINGAPORE 650101
101,BT PURMEI RD,BM,1.271462566,103.8256835,90101,101 BUKIT PURMEI ROAD BUKIT PURMEI VILLE SINGAPORE 090101
101,C'WEALTH CRES,QT,1.308051592,103.8008428,140101,101 COMMONWEALTH CRESCENT CRESCENT VIEW SINGAPORE 140101
101,CLEMENTI ST 14,CL,1.322089368,103.7689334,120101,101 CLEMENTI STREET 14 SUNSET WAY RESIDENCE SINGAPORE 120101
101,GANGSA RD,BP,1.379164316,103.7674393,670101,101 GANGSA ROAD SINGAPORE 670101
101,HENDERSON CRES,BM,1.290717998,103.8216252,150101,101 HENDERSON CRESCENT SINGAPORE 150101
101,HOUGANG AVE 1,HG,1.354937478,103.8913606,530101,101 HOUGANG AVENUE 1 SINGAPORE 530101
101,JLN RAJAH,KWN,1.328714784,103.8505453,321101,101 JALAN RAJAH NEIGHBOURHOOD POLICE POST MOULMEIN SINGAPORE 321101
101,JURONG EAST ST 13,JE,1.337011008,103.7387873,600101,101 JURONG EAST STREET 13 JURONG EAST VILLE SINGAPORE 600101
101,LENGKONG TIGA,BD,1.325159834,103.9108888,410101,101 LENGKONG TIGA KEMBANGAN GARDENS SINGAPORE 410101
101,PASIR RIS ST 12,PRC,1.367050215,103.9581819,510101,101 PASIR RIS STREET 12 SINGAPORE 510101
101,POTONG PASIR AVE 1,TP,1.333157101,103.8683804,350101,101 POTONG PASIR AVENUE 1 SINGAPORE 350101
101,RIVERVALE WALK,SK,1.382764289,103.899272,540101,101 RIVERVALE WALK MY FIRST SKOOL SINGAPORE 540101
