school_name,address,postal_code,lat,long
EVERGREEN SECONDARY SCHOOL,11 WOODLANDS STREET 83   ,738489,1.441491313,103.7941378
FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD   ,139648,1.301004419,103.7854556
FAIRFIELD METHODIST SCHOOL (SECONDARY),102 DOVER ROAD   ,139649,1.301633744,103.7840996
FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD   ,217567,1.312368677,103.8507664
FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD   ,469680,1.329805988,103.9317103
FERN GREEN PRIMARY SCHOOL,70 Fernvale Link,797538,1.397269661,103.8803303
FERNVALE PRIMARY SCHOOL,1 Fernvale Lane   ,797701,1.39030228,103.8744455
FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH   ,319252,1.340322995,103.8555299
FRONTIER PRIMARY SCHOOL,20 Jurong West Street 61   ,648200,1.336412987,103.6997017
FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1   ,739063,1.430479908,103.7781929
FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13   ,609647,1.336597265,103.7360895
FUHUA SECONDARY SCHOOL,5 JURONG WEST STREET 41   ,649410,1.347014089,103.7265209
GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE   ,158901,1.285595165,103.8155474
GAN ENG SENG SCHOOL,1 HENDERSON ROAD   ,159561,1.289071145,103.8237337
GEYLANG METHODIST SCHOOL (PRIMARY),4 Geylang East Central   ,389706,1.318144168,103.8836285
GEYLANG METHODIST SCHOOL (SECONDARY),2 GEYLANG EAST CENTRAL   ,389705,,
GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42   ,529176,1.357116068,103.9491448
GREENDALE PRIMARY SCHOOL,50 Edgedale Plains   ,828848,1.396481951,103.9123346
GREENDALE SECONDARY SCHOOL,51 EDGEDALE PLAINS   ,828866,1.396960199,103.9117001
GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD   ,677744,1.385889219,103.7677945
GREENRIDGE SECONDARY SCHOOL,31 Gangsa Road   ,678972,1.375600053,103.7639989
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS  DR  62   ,737942,1.439899583,103.8047256
GUANGYANG SECONDARY SCHOOL,8 BISHAN STREET 12   ,579807,1.344409435,103.8502122
HAI SING CATHOLIC SCHOOL,15 PASIR RIS STREET 21   ,518969,1.369330557,103.9627629
HAIG GIRLS' SCHOOL,51 Koon Seng Road   ,427072,1.311943443,103.9029026
HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD   ,278790,1.316676462,103.7842962
HILLGROVE SECONDARY SCHOOL,10 BUKIT BATOK STREET 52   ,659250,1.352735766,103.7529865
HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD   ,534786,1.371545088,103.8963988
HOLY INNOCENTS' PRIMARY SCHOOL,5 Lorong Low Koon   ,536451,1.366938309,103.8941149
HONG WEN SCHOOL,30 TOWNER ROAD   ,327829,1.32176,103.8576285
HORIZON PRIMARY SCHOOL,61 Edgedale Plains   ,828819,1.399550034,103.9134049
HOUGANG PRIMARY SCHOOL,1 HOUGANG ST 93   ,534238,1.377382452,103.8808053
HOUGANG SECONDARY SCHOOL,2 HOUGANG STREET 93   ,534256,,
HUA YI SECONDARY SCHOOL,60 JURONG WEST ST 42   ,649371,1.352343655,103.7218323
